EnsemblGeneID	R1L1Kidney	R1L3Kidney	R1L7Kidney	R2L2Kidney	R2L6Kidney	R1L2Liver	R1L4Liver	R1L6Liver	R1L8Liver	R2L3Liver
ENSG00000146556	0	0	0	0	0	0	0	0	0	0
ENSG00000197194	0	0	0	0	0	0	0	0	0	0
ENSG00000197490	0	0	0	0	0	0	0	0	0	0
ENSG00000205292	0	0	0	0	0	0	0	0	0	0
ENSG00000177693	0	0	0	0	0	0	0	0	0	0
ENSG00000209338	0	0	0	0	0	0	0	0	0	0
ENSG00000196573	0	0	0	0	0	0	0	0	0	0
ENSG00000177799	0	0	0	0	0	0	0	0	0	0
ENSG00000209341	0	0	0	0	0	0	0	0	0	0
ENSG00000209342	0	0	2	4	3	0	0	0	1	0
ENSG00000209343	0	0	0	0	0	0	0	0	0	0
ENSG00000209344	0	0	0	0	0	0	0	0	0	0
ENSG00000209346	0	0	0	0	0	0	0	0	0	0
ENSG00000209349	0	0	0	0	0	0	0	0	0	0
ENSG00000209350	4	7	3	6	7	35	32	31	29	34
ENSG00000209351	0	0	0	0	0	0	0	0	0	0
ENSG00000209352	0	0	1	1	0	2	0	0	0	0
ENSG00000212679	110	131	149	112	118	177	135	141	148	145
ENSG00000212678	12685	13204	12403	13031	13268	9246	9312	8746	8496	9070
ENSG00000185097	0	0	0	0	0	0	0	0	0	0
ENSG00000209353	0	0	0	0	0	0	0	0	0	0
ENSG00000197049	0	0	0	1	0	1	0	0	0	0
ENSG00000215918	0	0	0	0	0	0	0	0	0	0
ENSG00000177757	2	0	2	1	3	1	0	1	0	1
ENSG00000177750	1	4	3	3	7	1	2	5	1	1
ENSG00000177741	1	1	0	6	0	4	5	3	4	2
ENSG00000209354	0	0	0	0	0	0	0	0	0	0
ENSG00000198907	6	0	6	2	0	0	1	1	0	0
ENSG00000187634	49	43	41	42	47	27	34	23	35	25
ENSG00000188976	73	77	68	70	82	34	56	45	55	42
ENSG00000187961	15	15	13	12	15	8	13	11	12	20
ENSG00000187583	1	1	3	0	3	0	1	0	0	2
ENSG00000187642	4	5	12	9	9	0	0	2	1	4
ENSG00000188290	9	10	12	10	13	2	3	1	2	1
ENSG00000187608	12	11	7	16	13	15	17	5	10	16
ENSG00000188157	410	414	350	462	472	50	53	44	42	70
ENSG00000131591	10	9	7	12	16	5	9	3	6	11
ENSG00000215916	10	9	8	13	17	5	9	3	6	11
ENSG00000207730	0	0	0	0	0	0	0	0	0	0
ENSG00000207607	0	0	0	0	0	0	0	0	0	0
ENSG00000198976	0	0	0	1	1	0	0	0	0	0
ENSG00000205231	1	1	0	1	1	0	0	0	0	0
ENSG00000162571	1	1	1	0	1	0	0	0	0	0
ENSG00000186891	0	0	0	0	0	3	0	0	0	0
ENSG00000186827	2	1	1	0	1	0	0	1	0	0
ENSG00000078808	234	212	180	268	242	192	162	154	155	220
ENSG00000176022	25	21	28	39	30	38	32	28	22	45
ENSG00000184163	2	4	4	3	3	2	3	3	2	4
ENSG00000160087	66	66	58	59	66	58	56	64	53	59
ENSG00000162572	11	6	6	12	12	4	7	7	3	7
ENSG00000131584	78	71	72	75	83	51	38	25	48	54
ENSG00000169972	18	23	23	28	13	27	36	20	28	32
ENSG00000127054	98	108	77	108	105	68	76	48	60	78
ENSG00000187488	7	2	1	3	4	0	2	3	0	1
ENSG00000215792	7	2	1	3	4	0	2	3	0	1
ENSG00000169962	1	0	0	0	1	0	0	0	0	0
ENSG00000107404	7	11	10	13	10	6	3	2	2	3
ENSG00000162576	15	7	8	16	10	3	4	1	0	3
ENSG00000175756	0	0	0	0	0	0	0	0	0	0
ENSG00000116148	5	5	4	6	5	2	1	1	3	2
ENSG00000131586	2	3	2	0	2	0	0	0	0	0
ENSG00000205116	3	0	3	1	0	0	0	0	0	0
ENSG00000179403	9	8	13	11	12	9	10	5	9	13
ENSG00000215915	0	0	0	0	0	1	0	2	1	0
ENSG00000160072	4	2	2	3	5	2	5	4	2	4
ENSG00000197785	14	21	18	16	27	30	24	17	17	29
ENSG00000205090	1	0	0	4	1	0	0	0	0	0
ENSG00000160075	112	114	117	128	120	96	94	78	72	102
ENSG00000215791	6	3	2	3	2	4	3	1	2	4
ENSG00000197118	0	0	0	0	0	0	0	0	0	0
ENSG00000197530	44	43	34	61	48	30	30	29	25	32
ENSG00000189409	0	0	0	0	1	0	0	0	0	0
ENSG00000215914	0	0	0	0	0	0	0	0	0	0
